Start Ip,End Ip,Country Code,Country,Region,City
20174080,20174335,CN,CHINA,SHANDONG,JINAN,
17367552,17367807,MY,MALAYSIA,KEDAH,JITRA,
17405696,17405951,MY,MALAYSIA,JOHOR,JOHOR BAHRU,
21699328,21699583,JP,JAPAN,HYOGO,KAKOGAWA,
16894976,16895231,TH,THAILAND,KALASIN,KALASIN,
17401216,17401343,MY,MALAYSIA,PERAK,KAMPAR,
18252800,18253311,IN,INDIA,UTTAR PRADESH,KANPUR,
18249728,18250239,IN,INDIA,UTTAR PRADESH,KANPUR,
18250496,18250751,IN,INDIA,UTTAR PRADESH,KANPUR,
19272192,19272447,IN,INDIA,UTTAR PRADESH,KANPUR,
16876032,16876287,TH,THAILAND,MUKDAHAN,KHAMCHA-I,
16952576,16952831,TH,THAILAND,KHON KAEN,KHON KAEN,
16822528,16822783,TH,THAILAND,PHANGNGA,KHURA BURI,
16832768,16833023,TH,THAILAND,SURAT THANI,KO SAMUI,
16834048,16834303,TH,THAILAND,SURAT THANI,KO SAMUI,
16833280,16833535,TH,THAILAND,SURAT THANI,KO SAMUI,
18275584,18275839,IN,INDIA,WEST BENGAL,KOLKATA,
18264064,18264319,IN,INDIA,WEST BENGAL,KOLKATA,
18260992,18261247,IN,INDIA,WEST BENGAL,KOLKATA,
18276096,18276351,IN,INDIA,WEST BENGAL,KOLKATA,
18226432,18226687,IN,INDIA,WEST BENGAL,KOLKATA,
18249216,18249471,IN,INDIA,WEST BENGAL,KOLKATA,
19138816,19139071,HK,HONG KONG,HONG KONG (SAR),KOWLOON,
19193600,19193855,HK,HONG KONG,HONG KONG (SAR),KOWLOON,
17368320,17368575,MY,MALAYSIA,TERENGGANU,KUALA DUNGUN,
17370623,17371903,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17372160,17375231,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17379328,17382655,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17375488,17379071,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17369344,17370367,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17412352,17413887,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17367040,17367167,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17414144,17415423,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17415680,17420287,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17367808,17368063,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17411584,17412095,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17367200,17367551,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17420544,17432575,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17382912,17401087,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17407232,17408511,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17405952,17406975,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17401344,17402623,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17402880,17405695,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17408768,17411327,MY,MALAYSIA,KUALA LUMPUR,KUALA LUMPUR,
17420288,17420543,MY,MALAYSIA,PAHANG,KUANTAN,
17406976,17407231,MY,MALAYSIA,SARAWAK,KUCHING,
17415424,17415679,MY,MALAYSIA,SARAWAK,KUCHING,
18292736,18292991,IN,INDIA,ANDHRA PRADESH,LAL BAHADUR NAGAR,
18087936,18088191,TH,THAILAND,PATHUM THANI,LAT LUM KAEO,
19743488,19743743,CN,CHINA,ZHEJIANG,LISHUI,
16905216,16905471,TH,THAILAND,LOEI,LOEI,
18237440,18237951,IN,INDIA,UTTAR PRADESH,LUCKNOW,
18266624,18267135,IN,INDIA,UTTAR PRADESH,LUCKNOW,
18258688,18258943,IN,INDIA,UTTAR PRADESH,LUCKNOW,
19697408,19697919,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19696896,19697151,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19694336,19695103,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19696384,19696639,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19698176,19698431,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19699712,19699967,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
19700736,19700991,AU,AUSTRALIA,NEW SOUTH WALES,MACQUARIE PARK,
